 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,02_Frg_1_a_א_ROI-1.tif:-02613-01648:1,16632,9.541,6,27,1582,2550,132,126,148.946,142.176,0,0.785,1.048,0.955,1.000
2,02_Frg_1_a_א_ROI-1.tif:-02646-01595:1,5310,9.390,6,15,1573,2587,45,118,133.149,50.777,90,0.628,2.622,0.381,1.000
3,02_Frg_1_a_א_ROI-1.tif:-02685-01522:1,3782,9.310,6,22,1491,2655,62,61,69.960,68.831,0,0.785,1.016,0.984,1.000
4,02_Frg_1_a_א_ROI-1.tif:-02988-01748:1,17920,14.712,5,91,1698,2908,112,160,180.541,126.378,90,0.761,1.429,0.700,1.000
5,02_Frg_1_a_א_ROI-1.tif:-02992-01592:1,22940,9.704,5,18,1515,2918,155,148,174.899,167.000,0,0.785,1.047,0.955,1.000
6,02_Frg_1_a_א_ROI-1.tif:-03002-01452:1,10400,9.185,6,15,1412,2937,80,130,146.689,90.270,90,0.741,1.625,0.615,1.000
7,02_Frg_1_a_א_ROI-1.tif:-03053-01383:1,3456,9.669,6,21,1367,2999,32,108,121.865,36.108,90,0.554,3.375,0.296,1.000
8,02_Frg_1_a_א_ROI-1.tif:-03077-01314:1,924,9.596,6,15,1308,3066,21,44,49.649,23.696,90,0.687,2.095,0.477,1.000
9,02_Frg_1_a_א_ROI-1.tif:-03237-01922:1,780,87.744,69,108,1909,3222,26,30,33.851,29.338,90,0.781,1.154,0.867,1.000
10,02_Frg_1_a_א_ROI-1.tif:-03333-01812:1,26560,20.243,6,110,1732,3250,160,166,187.311,180.541,90,0.785,1.038,0.964,1.000
11,02_Frg_1_a_א_ROI-1.tif:-03343-01702:1,12408,10.176,5,21,1658,3273,88,141,159.101,99.297,90,0.743,1.602,0.624,1.000
12,02_Frg_1_a_א_ROI-1.tif:-03352-01621:1,15444,9.951,6,21,1572,3274,99,156,176.027,111.710,90,0.746,1.576,0.635,1.000
13,02_Frg_1_a_א_ROI-1.tif:-03353-01521:1,15660,9.758,6,17,1463,3286,116,135,152.331,130.892,90,0.781,1.164,0.859,1.000
14,02_Frg_1_a_א_ROI-1.tif:-03358-01425:1,8370,9.738,6,31,1394,3291,62,135,152.331,69.960,90,0.678,2.177,0.459,1.000
