 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,02_Frg_1_b_ROI.tif:1627-3862:1,624,155.918,81,255,3808,1655,24,26,29.338,27.081,90,0.784,1.083,0.923,1.000
2,02_Frg_1_b_ROI.tif:1619-3771:1,2052,151.477,90,255,3776,1610,27,76,85.757,30.466,90,0.608,2.815,0.355,1.000
3,02_Frg_1_b_ROI.tif:1646-3730:1,4130,168.091,130,189,3717,1633,59,70,78.987,66.574,90,0.780,1.186,0.843,1.000
4,02_Frg_1_b_ROI.tif:1657-3678:1,9870,129.218,45,186,3623,1594,94,105,118.480,106.068,90,0.783,1.117,0.895,1.000
5,02_Frg_1_b_ROI.tif:1652-3591:1,5247,109.509,42,168,3565,1586,53,99,111.710,59.804,90,0.713,1.868,0.535,1.000
6,02_Frg_1_b_ROI.tif:1649-3524:1,14729,116.850,24,179,3473,1578,103,143,161.358,116.223,90,0.765,1.388,0.720,1.000
7,02_Frg_1_b_ROI.tif:1604-3445:1,8400,141.440,80,181,3415,1534,60,140,157.973,67.703,90,0.660,2.333,0.429,1.000
8,02_Frg_1_b_ROI.tif:1487-3378:1,5917,149.672,94,255,3354,1487,61,97,109.453,68.831,90,0.745,1.590,0.629,1.000
9,02_Frg_1_b_ROI.tif:1565-3275:1,5733,130.856,66,255,3305,1513,49,117,132.020,55.291,90,0.654,2.388,0.419,1.000
10,02_Frg_1_b_ROI.tif:1564-3144:1,2263,130.105,80,255,3196,1571,31,73,82.372,34.980,90,0.657,2.355,0.425,1.000
11,02_Frg_1_b_ROI.tif:1564-3083:1,3298,137.941,87,255,3075,1545,34,97,109.453,38.365,90,0.604,2.853,0.351,1.000
12,02_Frg_1_b_ROI.tif:1554-3011:1,3248,156.885,87,255,3023,1573,29,112,126.378,32.723,90,0.513,3.862,0.259,1.000
13,02_Frg_1_b_ROI.tif:1557-2950:1,580,254.079,160,255,2895,1576,145,4,163.615,4.514,0,0.082,36.250,0.028,1.000
14,02_Frg_1_b_ROI.tif:1553-2875:1,9828,146.296,81,255,2816,1504,91,108,121.865,102.683,90,0.780,1.187,0.843,1.000
15,02_Frg_1_b_ROI.tif:1548-2768:1,15768,133.612,38,181,2714,1475,108,146,164.743,121.865,90,0.768,1.352,0.740,1.000
16,02_Frg_1_b_ROI.tif:1537-2667:1,17632,143.961,56,181,2609,1461,116,152,171.514,130.892,90,0.771,1.310,0.763,1.000
17,02_Frg_1_b_ROI.tif:1545-2558:1,10944,150.852,61,255,2510,1486,96,114,128.635,108.324,90,0.780,1.188,0.842,1.000
18,02_Frg_1_b_ROI.tif:1833-3980:1,7632,162.422,94,255,3925,1784,72,106,119.608,81.243,90,0.757,1.472,0.679,1.000
19,02_Frg_1_b_ROI.tif:1851-3884:1,14616,141.593,74,191,3820,1793,116,126,142.176,130.892,90,0.784,1.086,0.921,1.000
20,02_Frg_1_b_ROI.tif:1856-3813:1,4521,152.074,116,190,3787,1788,33,137,154.588,37.237,90,0.491,4.152,0.241,1.000
21,02_Frg_1_b_ROI.tif:1875-3743:1,13068,107.621,18,190,3688,1809,99,132,148.946,111.710,90,0.769,1.333,0.750,1.000
22,02_Frg_1_b_ROI.tif:1874-3659:1,6890,113.320,39,175,3625,1815,65,106,119.608,73.345,90,0.740,1.631,0.613,1.000
23,02_Frg_1_b_ROI.tif:1877-3559:1,21870,112.907,18,178,3476,1807,135,162,182.797,152.331,90,0.779,1.200,0.833,1.000
24,02_Frg_1_b_ROI.tif:1735-3424:1,7520,96.599,16,169,3395,1709,94,80,106.068,90.270,0,0.780,1.175,0.851,1.000
25,02_Frg_1_b_ROI.tif:1886-3457:1,2300,139.070,96,175,3426,1852,50,46,56.419,51.905,0,0.784,1.087,0.920,1.000
26,02_Frg_1_b_ROI.tif:1862-3370:1,13886,101.551,19,173,3320,1798,106,131,147.818,119.608,90,0.777,1.236,0.809,1.000
27,02_Frg_1_b_ROI.tif:1859-3293:1,6090,101.206,26,168,3262,1826,58,105,118.480,65.446,90,0.720,1.810,0.552,1.000
28,02_Frg_1_b_ROI.tif:1845-3212:1,9960,101.814,16,167,3170,1803,83,120,135.406,93.655,90,0.759,1.446,0.692,1.000
29,02_Frg_1_b_ROI.tif:1865-3120:1,18515,113.823,31,173,3063,1801,115,161,181.669,129.764,90,0.764,1.400,0.714,1.000
30,02_Frg_1_b_ROI.tif:1862-3028:1,8625,127.287,64,185,2988,1805,75,115,129.764,84.628,90,0.751,1.533,0.652,1.000
31,02_Frg_1_b_ROI.tif:1849-2951:1,11904,91.308,18,184,2892,1790,96,124,139.919,108.324,90,0.773,1.292,0.774,1.000
32,02_Frg_1_b_ROI.tif:1888-2834:1,20696,94.287,26,171,2782,1789,104,199,224.547,117.351,90,0.708,1.913,0.523,1.000
33,02_Frg_1_b_ROI.tif:1852-2746:1,7991,84.639,22,134,2712,1799,61,131,147.818,68.831,90,0.681,2.148,0.466,1.000
34,02_Frg_1_b_ROI.tif:1871-2669:1,20349,91.483,23,162,2606,1790,119,171,192.953,134.277,90,0.760,1.437,0.696,1.000
35,02_Frg_1_b_ROI.tif:1877-2539:1,24963,111.805,21,180,2446,1795,157,159,179.412,177.156,90,0.785,1.013,0.987,1.000
36,02_Frg_1_b_ROI.tif:1868-2440:1,2310,155.236,124,180,2404,1832,42,55,62.061,47.392,90,0.771,1.310,0.764,1.000
37,02_Frg_1_b_ROI.tif:1846-2343:1,15694,129.605,21,255,2286,1787,118,133,150.074,133.149,90,0.783,1.127,0.887,1.000
38,02_Frg_1_b_ROI.tif:2204-4488:1,3285,172.034,84,255,4431,2172,73,45,82.372,50.777,0,0.741,1.622,0.616,1.000
39,02_Frg_1_b_ROI.tif:2214-4393:1,11868,157.839,81,255,4332,2155,86,138,155.716,97.041,90,0.743,1.605,0.623,1.000
40,02_Frg_1_b_ROI.tif:2208-4337:1,1715,192.731,182,195,4283,2203,49,35,55.291,39.493,0,0.764,1.400,0.714,1.000
41,02_Frg_1_b_ROI.tif:2182-4282:1,3596,171.072,63,255,4225,2191,58,62,69.960,65.446,90,0.785,1.069,0.935,1.000
42,02_Frg_1_b_ROI.tif:2084-4068:1,1600,163.189,107,255,4162,2205,40,40,45.135,45.135,0,0.785,1.000,1.000,1.000
43,02_Frg_1_b_ROI.tif:2213-4007:1,12060,188.370,104,255,3912,2195,201,60,226.804,67.703,0,0.556,3.350,0.299,1.000
44,02_Frg_1_b_ROI.tif:2227-3886:1,11286,119.948,37,178,3813,2148,99,114,128.635,111.710,90,0.782,1.152,0.868,1.000
45,02_Frg_1_b_ROI.tif:2222-3758:1,20562,76.314,18,135,3661,2144,149,138,168.128,155.716,0,0.784,1.080,0.926,1.000
46,02_Frg_1_b_ROI.tif:2233-3688:1,231,103.667,80,125,3654,2214,7,33,37.237,7.899,90,0.454,4.714,0.212,1.000
