 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,02_Frg_1_c_א_ROI.tif:2329-3986:1,403,21.846,14,43,3980,2314,13,31,34.980,14.669,90,0.654,2.385,0.419,1.000
2,02_Frg_1_c_א_ROI.tif:2339-3935:1,2205,19.782,9,37,3911,2317,49,45,55.291,50.777,0,0.784,1.089,0.918,1.000
3,02_Frg_1_c_א_ROI.tif:2429-3775:1,24380,22.942,8,60,3729,2297,92,265,299.020,103.811,90,0.601,2.880,0.347,1.000
4,02_Frg_1_c_א_ROI.tif:2532-3673:1,17595,21.475,9,42,3616,2456,115,153,172.642,129.764,90,0.770,1.330,0.752,1.000
5,02_Frg_1_c_א_ROI.tif:2487-3565:1,13068,17.377,8,42,3511,2427,108,121,136.534,121.865,90,0.783,1.120,0.893,1.000
6,02_Frg_1_c_א_ROI.tif:2500-3491:1,12267,20.154,7,46,3448,2430,87,141,159.101,98.169,90,0.741,1.621,0.617,1.000
7,02_Frg_1_c_א_ROI.tif:2520-3994:1,28574,20.491,4,68,3903,2442,182,157,205.365,177.156,0,0.781,1.159,0.863,1.000
8,02_Frg_1_c_א_ROI.tif:2682-3486:1,5290,18.070,5,40,3429,2659,115,46,129.764,51.905,0,0.641,2.500,0.400,1.000
9,02_Frg_1_c_א_ROI.tif:2658-3370:1,3888,19.398,6,37,3334,2631,72,54,81.243,60.932,0,0.769,1.333,0.750,1.000
10,02_Frg_1_c_א_ROI.tif:2647-3288:1,3468,18.664,6,41,3263,2613,51,68,76.730,57.547,90,0.769,1.333,0.750,1.000
11,02_Frg_1_c_א_ROI.tif:2504-3862:1,6642,33.963,20,56,3821,2464,82,81,92.527,91.399,0,0.785,1.012,0.988,1.000
