frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M40484.tif:0701-2852,153293,222.767,73,235,2673,488,359,427,481.818,405.088,90,0.780,1.189,0.841,1.000
2,M40484.tif:1008-2732,92082,219.407,173,237,2578,859,309,298,348.669,336.257,0,0.785,1.037,0.964,1.000
3,M40484.tif:1334-2896,132325,223.759,181,236,2729,1137,335,395,445.710,378.007,90,0.780,1.179,0.848,1.000
4,M40484.tif:1669-2914,87320,227.943,189,239,2766,1522,296,295,334.000,332.872,0,0.785,1.003,0.997,1.000
5,M40484.tif:1943-2604,219252,229.807,193,245,2362,1717,484,453,546.136,511.156,0,0.785,1.068,0.936,1.000
6,M40484.tif:2257-2983,94168,223.713,184,239,2834,2099,298,316,356.568,336.257,90,0.785,1.060,0.943,1.000
7,M40484.tif:2319-2432,93072,229.896,196,241,2264,2181,336,277,379.135,312.561,0,0.778,1.213,0.824,1.000
8,M40484.tif:2292-2003,111219,228.214,196,239,1807,2151,393,283,443.453,319.331,0,0.765,1.389,0.720,1.000
9,M40484.tif:2451-1607,62790,227.104,197,239,1458,2346,299,210,337.385,236.960,0,0.761,1.424,0.702,1.000
10,M40484.tif:2353-1229,119412,230.808,202,240,1069,2167,321,372,419.757,362.210,90,0.781,1.159,0.863,1.000
11,M40484.tif:2064-1457,143220,225.875,194,238,1226,1909,462,310,521.311,349.798,0,0.755,1.490,0.671,1.000
12,M40484.tif:2063-0920,153176,230.918,209,238,687,1899,467,328,526.953,370.108,0,0.761,1.424,0.702,1.000
13,M40484.tif:1634-0880,229710,230.372,198,239,586,1439,589,390,664.615,440.068,0,0.753,1.510,0.662,1.000
14,M40484.tif:1130-0801,228490,229.238,192,239,488,948,626,365,706.365,411.858,0,0.731,1.715,0.583,1.000
15,M40484.tif:0800-0895,201432,227.198,190,238,664,582,462,436,521.311,491.973,0,0.785,1.060,0.944,1.000
16,M40484.tif:0959-1383,343252,225.559,188,239,1096,660,574,598,674.771,647.690,90,0.785,1.042,0.960,1.000
17,M40484.tif:1161-1385,79674,224.703,189,238,1238,1026,294,271,331.743,305.791,0,0.784,1.085,0.922,1.000
18,M40484.tif:0957-1661,69680,224.486,188,238,1531,823,260,268,302.406,293.379,90,0.785,1.031,0.970,1.000
19,M40484.tif:1535-1506,201390,228.275,194,238,1261,1330,490,411,552.906,463.764,0,0.779,1.192,0.839,1.000
20,M40484.tif:1299-2039,158006,228.194,183,248,1840,1101,398,397,449.095,447.967,0,0.785,1.003,0.997,1.000
21,M40484.tif:1806-2010,318318,227.111,189,238,1719,1533,583,546,657.845,616.095,0,0.785,1.068,0.937,1.000
22,M40484.tif:1338-2386,135828,221.056,180,237,2215,1140,343,396,446.838,387.034,90,0.781,1.155,0.866,1.000
23,M40484.tif:0767-2258,454740,221.238,170,239,1940,410,636,715,806.791,717.649,90,0.783,1.124,0.890,1.000
24,M40484.tif:1065-2371,52118,220.773,177,236,2245,962,253,206,285.480,232.446,0,0.777,1.228,0.814,1.000
25,M40484.tif:2707-2311,413424,232.080,189,248,1267,2608,2088,198,2356.056,223.419,0,0.249,10.545,0.095,1.000
