frag_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,M40628-1-E.tif:0928-5659,730884,177.180,8,254,5428,137,462,1582,0.550,3.424,0.292,1.000
2,M40628-1-E.tif:1539-5413,87963,173.257,19,245,5250,1405,327,269,0.778,1.216,0.823,1.000
3,M40628-1-E.tif:0495-5240,177072,174.778,0,246,5104,170,272,651,0.653,2.393,0.418,1.000
4,M40628-1-E.tif:1000-5031,144664,180.222,10,246,4817,831,428,338,0.775,1.266,0.790,1.000
5,M40628-1-E.tif:0648-4921,47961,194.281,3,246,4812,539,219,219,0.785,1.000,1.000,1.000
6,M40628-1-E.tif:0283-4828,131712,182.738,24,250,4632,115,392,336,0.781,1.167,0.857,1.000
7,M40628-1-E.tif:0772-4592,123848,179.875,8,252,4455,546,274,452,0.738,1.650,0.606,1.000
8,M40628-1-E.tif:0297-4458,85749,177.298,18,249,4307,156,303,283,0.784,1.071,0.934,1.000
9,M40628-1-E.tif:0686-4256,37280,181.990,27,248,4140,606,233,160,0.758,1.456,0.687,1.000
10,M40628-1-E.tif:0908-4299,46315,192.001,41,249,4152,830,295,157,0.712,1.879,0.532,1.000
11,M40628-1-E.tif:0331-3941,241454,183.757,13,251,3608,150,667,362,0.716,1.843,0.543,1.000
12,M40628-1-E.tif:0691-3792,117078,169.890,29,248,3545,573,494,237,0.688,2.084,0.480,1.000
13,M40628-1-E.tif:1013-3845,145676,182.091,24,252,3615,855,461,316,0.758,1.459,0.685,1.000
14,M40628-1-E.tif:1149-4260,28116,187.561,21,249,4154,1083,213,132,0.742,1.614,0.620,1.000
15,M40628-1-E.tif:1182-4599,44103,190.136,26,255,4508,1062,183,241,0.771,1.317,0.759,1.000
16,M40628-1-E.tif:1277-5022,54538,181.402,6,245,4819,1210,407,134,0.585,3.037,0.329,1.000
17,M40628-1-E.tif:1633-4815,251674,161.404,8,248,4464,1454,703,358,0.702,1.964,0.509,1.000
18,M40628-1-E.tif:1470-4340,53784,189.681,30,247,4257,1308,166,324,0.704,1.952,0.512,1.000
19,M40628-1-E.tif:1415-3967,113098,174.848,10,248,3774,1269,386,293,0.771,1.317,0.759,1.000
20,M40628-1-E.tif:1225-3560,63383,181.395,0,251,3440,1094,241,263,0.784,1.091,0.916,1.000
21,M40628-1-E.tif:0821-3383,28512,177.108,28,248,3295,740,176,162,0.784,1.086,0.920,1.000
22,M40628-1-E.tif:0452-3204,353584,196.906,5,252,2876,183,656,539,0.778,1.217,0.822,1.000
23,M40628-1-E.tif:0883-2961,50954,193.383,11,251,2787,810,349,146,0.653,2.390,0.418,1.000
24,M40628-1-E.tif:0313-2640,97137,189.948,14,255,2447,188,387,251,0.750,1.542,0.649,1.000
25,M40628-1-E.tif:0639-2557,139050,196.216,24,253,2332,485,450,309,0.758,1.456,0.687,1.000
