 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,M43285.tif:0830-5043,322846,184.903,51,237,4706,591,674,479,760.528,540.494,0,0.763,1.407,0.711,1.000
2,M43285.tif:0641-4577,20016,180.031,95,230,4505,572,144,139,162.487,156.845,0,0.785,1.036,0.965,1.000
3,M43285.tif:0804-4339,154584,186.263,59,245,4170,576,339,456,514.541,382.521,90,0.768,1.345,0.743,1.000
4,M43285.tif:0930-4149,34224,175.967,67,232,4056,838,186,184,209.879,207.622,0,0.785,1.011,0.989,1.000
5,M43285.tif:0666-3611,86904,186.109,64,233,3327,590,568,153,640.919,172.642,0,0.525,3.712,0.269,1.000
6,M43285.tif:0888-3598,112056,160.675,55,232,3322,787,552,203,622.865,229.061,0,0.618,2.719,0.368,1.000
7,M43285.tif:0953-2760,624100,184.134,44,240,2365,558,790,790,891.420,891.420,0,0.785,1.000,1.000,1.000
8,M43285.tif:0660-2365,25960,203.540,121,230,2306,550,118,220,248.243,133.149,90,0.714,1.864,0.536,1.000
9,M43285.tif:1085-2320,71920,220.371,140,252,2262,775,116,620,699.595,130.892,90,0.417,5.345,0.187,1.000
10,M43285.tif:1803-2755,397936,183.153,59,245,2381,1537,748,532,844.028,600.298,0,0.763,1.406,0.711,1.000
11,M43285.tif:1719-3663,260984,173.514,23,242,3461,1396,404,646,728.933,455.865,90,0.744,1.599,0.625,1.000
12,M43285.tif:1695-4530,351198,169.010,3,245,4203,1427,654,537,737.960,605.940,0,0.778,1.218,0.821,1.000
13,M43285.tif:1710-5173,27738,156.569,49,230,5106,1607,134,207,233.574,151.203,90,0.749,1.545,0.647,1.000
14,M43285.tif:2308-5091,75096,165.659,38,236,4942,2182,298,252,336.257,284.352,0,0.780,1.183,0.846,1.000
15,M43285.tif:2320-4470,80955,185.183,68,238,4313,2192,315,257,355.439,289.993,0,0.777,1.226,0.816,1.000
16,M43285.tif:2461-3537,404736,195.385,78,244,2993,2275,1088,372,1227.677,419.757,0,0.597,2.925,0.342,1.000
17,M43285.tif:2496-2672,113712,204.530,104,248,2518,2312,309,368,415.244,348.669,90,0.779,1.191,0.840,1.000
18,M43285.tif:2977-2583,27004,190.033,105,230,2497,2899,172,157,194.081,177.156,0,0.784,1.096,0.913,1.000
19,M43285.tif:2963-2878,24272,187.095,109,229,2804,2881,148,164,185.054,167.000,90,0.783,1.108,0.902,1.000
20,M43285.tif:2986-3251,58166,166.336,11,229,3137,2859,229,254,286.608,258.399,90,0.783,1.109,0.902,1.000
21,M43285.tif:2957-3696,46552,187.189,49,234,3570,2865,253,184,285.480,207.622,0,0.766,1.375,0.727,1.000
22,M43285.tif:2918-4185,79118,170.119,53,233,4006,2808,358,221,403.960,249.372,0,0.741,1.620,0.617,1.000
23,M43285.tif:2857-4693,30155,195.546,67,232,4612,2765,163,185,208.750,183.926,90,0.782,1.135,0.881,1.000
24,M43285.tif:2858-5076,79236,181.321,21,230,4937,2716,279,284,320.460,314.818,90,0.785,1.018,0.982,1.000
25,M43285.tif:3342-4878,51525,143.787,30,226,4764,3230,229,225,258.399,253.885,0,0.785,1.018,0.983,1.000
26,M43285.tif:3348-4440,58035,175.259,33,228,4308,3239,265,219,299.020,247.115,0,0.778,1.210,0.826,1.000
27,M43285.tif:3374-3936,27132,183.379,99,227,3834,3308,204,133,230.189,150.074,0,0.751,1.534,0.652,1.000
28,M43285.tif:3400-3457,27936,173.556,40,226,3360,3328,194,144,218.906,162.487,0,0.768,1.347,0.742,1.000
29,M43285.tif:3424-2894,84907,175.273,41,228,2679,3326,431,197,486.331,222.291,0,0.676,2.188,0.457,1.000
30,M43285.tif:3823-3722,170521,193.419,52,240,3218,3739,1009,169,1138.535,190.696,0,0.386,5.970,0.167,1.000
