Manuscript number 	Plate number- IAA inventory 	Fragment number (on IAA plate)	DJD- publication number
4Q320	-681	1	DJD21 pl.I:1
4Q320	-681	2	DJD21 pl.I:2
4Q320	-681	3	DJD21 pl.I:3
11Q10	-633	2	DJD23 pl.XI:9
11Q10	-633	1	DJD23 pl.X:8
4Q405	-506	1	DJD11 pl.XXII:3a
4Q405	-506	2	DJD11 pl.XXII:1
4Q405	-506	3	DJD11 pl.XXII:3b
4Q405	-506	4	DJD11 pl.XXII:2
4Q405	-506	5	DJD11 pl.XXVII:24
4Q405	-506	6	DJD11 pl.XXII:4
4Q405	-506	7	DJD11 pl.XXVII:25
4Q405	-506	8	DJD11 pl.XXII:5
4Q405	-506	9	DJD11 pl.XXII:6
4Q299	-594	1	DJD20 pl.V:14
4Q299	-594	2	DJD20 pl.V:15
4Q299	-594	6	DJD20 pl.V:16
4Q299	-594	7	DJD20 pl.V:17
4Q299	-594	5	DJD20 pl.V:18
4Q299	-594	8	DJD20 pl.V:19
4Q299	-594	4	DJD20 pl.V:20
4Q299	-594	3	DJD20 pl.V:21
4Q299	-594	14	DJD20 pl.V:22
4Q299	-594	12	DJD20 pl.V:23
4Q299	-594	13	DJD20 pl.V:24
4Q299	-594	11	DJD20 pl.V:25
4Q299	-594	10	DJD20 pl.V:26
4Q299	-594	9	DJD20 pl.V:27
4Q299	-594	17	DJD20 pl.V:28
4Q299	-594	18	DJD20 pl.V:31
4Q299	-594	15	DJD20 pl.V:29
4Q299	-594	16	DJD20 pl.V:32
4Q299	-594	20	DJD20 pl.V:33
4Q299	-594	22	DJD20 pl.V:34
4Q299	-594	23	DJD20 pl.V:35
4Q299	-594	21	DJD20 pl.V:36
4Q299	-594	19	DJD20 pl.V:37
4Q299	-594	26	DJD20 pl.V:38
4Q299	-594	29	DJD20 pl.V:39
4Q299	-594	24	DJD20 pl.V:40
4Q299	-594	30	DJD20 pl.V:41
4Q299	-594	27	DJD20 pl.V:42
4Q299	-594	25	DJD20 pl.V:43
4Q299	-594	28	DJD20 pl.V:44
4Q504	-421	2	DJD7 pl.LII:3
4Q504	-421	1	DJD7 pl.LII:4
4Q504	-421	5	DJD7 pl.LII:5
4Q504	-421	3	DJD7 pl.LII:6
4Q504	-421	4	DJD7 pl.LII:7
11Q10	-635	3	
4Q504	-421	6	not found in publication
4Q5	-420	1	DJD12 pl.X:1
4Q5	-420	2	DJD12 pl.X:8
4Q5	-420	3	DJD12 pl.X:3
4Q5	-420	4	DJD12 pl.X:2 (part added on)
4Q5	-420	5	DJD12 pl.X:4
4Q5	-420	6	DJD12 pl.X:6
4Q5	-420	7	DJD12 pl.X:5
4Q5	-420	8	DJD12 pl.X:9
4Q5	-420	9	DJD12 pl.X:10
4Q5	-420	10	DJD12 pl.X:7
4Q5	-420	11	TINY FRAGMENT
11Q20	-614	1	DJD23 pl.XLVI:28a
11Q20	-614	12	DJD23 pl.XLI:1d
11Q20	-614	18	DJD23 pl.XLVII:37
11Q20	-614	13	DJD23 pl.XLVII:36
11Q21	-614	3	DJD23 pl.XLVIII:2
11Q16	-614	9	DJD23 pl.XXIX:
11Q17	-614	21	DJD23 pl.XXXIV:35
11Q17	-614	19	DJD23 pl.XXXII:21b
11Q12	-614	8	DJD23 pl.XXVI:11
11Q14	-614	11	DJD23 pl.XXVIII:2
11Q22	-614	5	DJD23 pl.XLVIII:3
11Q22	-614	15	DJD23 pl.XLVIII:4
11Q10	-635	4	
11Q10	-635	5	
11Q25	-614	7	DJD23 pl.XLIX:4
11Q6	-614	14	DJD23 pl.III:2
11Q7	-614	16	DJD23 pl.VI:9
11Q7	-614	4	DJD23 pl.VI:5
4Q279	-679	5	DJD26 pl.XXIII:5
4Q279	-679	6	DJD26 pl.XXIII:2
4Q279	-679	7	DJD26 pl.XXIII:1
4Q279	-679	8	DJD26 pl.XXIII:4
4Q279	-679	9	DJD26 pl.XXIII:3
4Q284a-679	-679	1	DJD35 pl.XI:1
4Q284a-679	-679	3	DJD35 pl.XI:2
4Q284a-679	-679	2	DJD35 pl.XI:3
4Q284a-679	-679	4	DJD35 pl.XI:4
4Q111	(667/1)	3	DJD16 pl.XXVII:1
4Q111	(667/1)	2	DJD16 pl.XXVII:2
4Q111	(667/1)	1	DJD16 pl.XXVIII:3
4Q111	(667/1)	4	DJD16 pl.XXVIII:4
4Q35	(389/1)	1	DJD14 pl.XVIII:12
4Q7	(275/1)	1	DJD12. pl.XII:1
4Q7	(275/1)	2	DJD12. pl.XII:2
4Q7	(275/1)	3	DJD12. pl.XII:3
11Q5	-974	1	DJD4 pl.XV - XVII
11Q5	-979	1	DJD4 pl.VI-IX
11Q5	-978	1	DJD4 pl.XIII-XV:
11Q10	-635	6	
4Q57	-363	1	DJD15 pl.VII:1+2
4Q57	-363	4	DJD15 pl.VII:3
4Q57	-363	2	DJD15 pl.VII:6
