institution,plate,fragment,side,filename
IAA,*101,1,R,PX101-Fg001-R-C01-R01-D06092015-T103728-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C01-R01-D06092015-T103834-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C01-R01-D06092015-T103949-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C01-R01-D06092015-T104003-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C01-R02-D06092015-T112212-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C01-R02-D06092015-T112319-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C01-R02-D06092015-T112436-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C01-R02-D06092015-T112450-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C02-R01-D06092015-T104315-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C02-R01-D06092015-T104421-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C02-R01-D06092015-T104537-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C02-R01-D06092015-T104551-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C02-R02-D06092015-T111802-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C02-R02-D06092015-T111910-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C02-R02-D06092015-T112027-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C02-R02-D06092015-T112041-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C03-R01-D06092015-T104755-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C03-R01-D06092015-T104901-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C03-R01-D06092015-T105018-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C03-R01-D06092015-T105032-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C03-R02-D06092015-T111340-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C03-R02-D06092015-T111447-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C03-R02-D06092015-T111603-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C03-R02-D06092015-T111617-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C04-R01-D06092015-T105255-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C04-R01-D06092015-T105400-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C04-R01-D06092015-T105517-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C04-R01-D06092015-T105531-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C04-R02-D06092015-T110916-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C04-R02-D06092015-T111023-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C04-R02-D06092015-T111140-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C04-R02-D06092015-T111154-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C05-R01-D06092015-T105823-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C05-R01-D06092015-T105929-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C05-R01-D06092015-T110045-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C05-R01-D06092015-T110059-OO_028.jpg
IAA,*101,1,R,PX101-Fg001-R-C05-R02-D06092015-T110437-LR445 _PSC.tif
IAA,*101,1,R,PX101-Fg001-R-C05-R02-D06092015-T110544-LR924 _012.jpg
IAA,*101,1,R,PX101-Fg001-R-C05-R02-D06092015-T110700-OO_026.jpg
IAA,*101,1,R,PX101-Fg001-R-C05-R02-D06092015-T110714-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C01-R01-D06092015-T123746-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C01-R01-D06092015-T123855-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C01-R01-D06092015-T124013-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C01-R01-D06092015-T124027-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C01-R02-D06092015-T114355-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C01-R02-D06092015-T114504-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C01-R02-D06092015-T114621-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C01-R02-D06092015-T114635-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C02-R01-D06092015-T123327-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C02-R01-D06092015-T123434-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C02-R01-D06092015-T123553-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C02-R01-D06092015-T123607-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C02-R02-D06092015-T115819-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C02-R02-D06092015-T115926-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C02-R02-D06092015-T120043-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C02-R02-D06092015-T120057-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C03-R01-D06092015-T122839-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C03-R01-D06092015-T122947-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C03-R01-D06092015-T123106-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C03-R01-D06092015-T123120-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C03-R02-D06092015-T120233-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C03-R02-D06092015-T120340-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C03-R02-D06092015-T120457-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C03-R02-D06092015-T120511-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C04-R01-D06092015-T122405-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C04-R01-D06092015-T122513-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C04-R01-D06092015-T122632-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C04-R01-D06092015-T122646-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C04-R02-D06092015-T120732-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C04-R02-D06092015-T120838-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C04-R02-D06092015-T120957-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C04-R02-D06092015-T121010-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C05-R01-D06092015-T121822-LR445 _PSC.tif
IAA,*101,1,V,PX101-Fg001-V-C05-R01-D06092015-T121930-LR924 _012.jpg
IAA,*101,1,V,PX101-Fg001-V-C05-R01-D06092015-T122048-OO_026.jpg
IAA,*101,1,V,PX101-Fg001-V-C05-R01-D06092015-T122103-OO_028.jpg
IAA,*101,1,V,PX101-Fg001-V-C05-R02-D06092015-T121243-LR445 _PSC.tif
