edition_catalog_id,col_id
759,21
20803,21
760,23
20788,23
756,24
20791,24
757,25
20799,25
755,26
20755,26
772,28
20828,28
782,329
20786,329
783,330
20822,330
784,331
20819,331
785,331
20823,331
780,332
20821,332
790,332
20816,332
781,332
20785,332
794,333
20832,333
788,334
20831,334
789,335
20830,335
787,336
20825,336
967,502
21017,502
966,503
20999,503
968,504
20997,504
984,505
21021,505
983,506
21011,506
985,507
21000,507
986,508
21012,508
987,509
21006,509
989,512
20979,512
992,513
20973,513
993,514
21034,514
991,515
20976,515
990,516
20975,516
994,517
21028,517
995,518
20978,518
997,519
20974,519
996,520
20977,520
999,521
21024,521
998,522
20972,522
1000,522
21026,522
1001,523
21032,523
1002,524
21031,524
1003,525
21035,525
1004,526
21030,526
1005,527
21029,527
1006,528
21042,528
1007,529
21037,529
1008,530
21053,530
1009,531
21045,531
1010,532
21046,532
1011,533
21040,533
1012,534
21043,534
1013,535
21039,535
1017,536
21027,536
1014,537
21038,537
1015,538
21041,538
1016,539
21055,539
1033,540
21108,540
1032,541
21107,541
1035,542
21101,542
1034,543
21088,543
1036,544
21078,544
1037,545
21080,545
1040,546
21073,546
1042,547
21085,547
1041,548
21077,548
1038,549
21068,549
1039,550
21083,550
1046,551
21066,551
1047,552
21093,552
1045,553
21058,553
1043,554
21069,554
1044,555
21076,555
1108,556
21130,556
1109,557
21176,557
1110,558
21164,558
1111,559
21133,559
1112,560
21178,560
1113,561
21151,561
1113,562
21151,562
1115,563
21157,563
1115,564
21157,564
1114,565
21180,565
1116,566
21168,566
1117,567
21144,567
1122,568
21143,568
1121,569
21132,569
1119,570
21134,570
1123,571
21172,571
1120,572
21149,572
1124,573
21147,573
1126,574
21163,574
1125,575
21154,575
1131,576
21138,576
1129,577
21142,577
1133,578
21165,578
1069,579
21057,579
1070,580
21089,580
1071,581
21096,581
1072,582
21070,582
1073,583
21125,583
1074,584
21059,584
1075,585
21064,585
1076,586
21060,586
1081,587
21129,587
1079,588
21094,588
1077,589
21062,589
1078,590
21049,590
1080,591
21106,591
1082,592
21102,592
1083,593
21097,593
1085,594
21117,594
1084,595
21126,595
1101,596
21131,596
1086,597
21127,597
1087,598
21116,598
1088,599
21128,599
1089,600
21120,600
1092,601
21119,601
1093,602
21109,602
1090,603
21124,603
1091,604
21115,604
1094,605
21112,605
1095,606
21118,606
1098,607
21114,607
1097,608
21123,608
1100,610
21137,610
1099,611
21121,611
1096,612
21113,612
1547,629
21591,629
1554,630
21571,630
1556,631
21606,631
1573,633
21590,633
1566,634
21601,634
1564,635
21575,635
1564,636
21575,636
1565,637
21581,637
1551,638
21610,638
1559,639
21608,639
1545,640
21557,640
1546,641
21599,641
1572,642
